#{"t_start": 1719057381.053993, "env_id": "LunarLander-v2"}
r,l,t
-117.779653,209,122.052075
-90.112998,204,122.109396
-147.274837,413,122.220149
-181.784752,445,122.339163
-150.642579,706,122.58346
-123.240447,253,122.662782
-147.905623,316,122.750267
245.903217,535,122.899427
264.93798,312,122.989136
274.919556,346,123.092041
35.53906,195,123.14456
238.186436,518,123.288663
-96.817058,128,123.322494
-41.71752,236,123.388056
-120.246827,316,123.48148
195.092017,638,123.660401
39.925436,260,123.730373
-114.431662,142,123.771005
-111.894071,140,123.808512
254.456278,274,123.882521
-176.011522,515,124.021207
237.741511,673,124.21868
287.143578,489,124.357505
-210.414099,613,124.530676
-144.022765,238,124.594392
270.647964,312,124.689054
10.318287,241,124.756326
-111.914701,127,124.791637
-23.46402,156,124.833728
-181.714639,439,124.955864
-106.94164,132,124.992187
271.19927,302,125.0766
-111.020333,149,125.125314
2.944029,239,125.197691
-95.377891,151,125.240681
276.183083,273,125.316562
241.142398,311,125.402368
-188.049132,643,125.586525
-186.506583,716,125.781862
-155.712775,412,125.897716
-1.256985,186,125.947898
-165.446655,660,126.133917
-163.329332,548,126.28297
-166.281096,471,126.43044
277.762761,274,126.51297
256.345462,830,126.755563
-115.311177,107,126.78449
-81.956477,136,126.821273
-155.465254,505,126.964765
-116.876832,225,127.028578
-176.067033,470,127.15383
-167.103668,453,127.286287
247.707537,326,127.37817
-20.59904,197,127.444089
-153.961916,457,127.567611
-126.35255,256,127.63681
268.946108,276,127.712724
-190.323092,539,127.860175
-117.099914,145,127.898307
129.481694,1000,128.18939
-95.635832,134,128.225716
-111.428118,236,128.293841
-151.526243,543,128.45658
-205.491143,611,128.623275
-117.624037,250,128.691826
281.669959,266,128.769545
-31.030778,189,128.82108
-158.445078,463,128.945501
-214.447363,719,129.161728
7.95831,179,129.211369
-195.397685,582,129.392646
245.85792,403,129.508664
-159.223136,557,129.66696
-179.803466,676,129.862053
-140.117358,1000,130.13671
-193.969616,638,130.323007
-215.867217,725,130.547927
198.378735,744,130.763426
-170.624247,430,130.879411
3.360538,223,130.941079
-90.048593,174,131.000791
-134.135947,435,131.132671
-25.959571,250,131.209705
-78.725315,1000,131.504253
-69.258725,359,131.599699
-100.994164,172,131.646666
-6.211413,234,131.712424
-123.879797,174,131.764896
-143.331396,477,131.891753
-166.981168,536,132.039648
280.415517,394,132.151377
276.426943,553,132.30533
-169.432794,591,132.493834
236.809826,558,132.657859
-146.705127,329,132.74554
-205.481239,573,132.906882
-147.983457,382,133.013133
257.296108,537,133.174079
-92.400498,175,133.222192
192.87232,604,133.39681
-214.045039,737,133.609551
-70.553876,197,133.669534
-203.365658,842,133.919922
238.126339,341,134.037381
-128.710587,388,134.157119
-138.741298,440,134.285362
-167.684236,488,134.422891
15.699566,240,134.493295
-176.761308,656,134.671802
218.523134,552,134.827085
263.309108,321,134.914474
